L1_seed,n_pass,fraction
L1_DoubleMu4_SQ_OS_dR_Max1p2,2334126,0.6618920754470863
L1_DoubleMu0er2p0_SQ_dEta_Max1p6,2327760,0.6600868580113968
L1_DoubleMu0er2p0_SQ_dEta_Max1p5,2326877,0.6598364642011998
L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,2278237,0.646043536762944
L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,2277746,0.6459043030587461
L1_DoubleMu3er2p0_SQ_OS_dR_Max1p6,2234205,0.6335573077135755
L1_DoubleMu4er2p0_SQ_OS_dR_Max1p6,2072238,0.5876280503453194
L1_DoubleMu4p5_SQ_OS_dR_Max1p2,1940482,0.5502657775748665
L1_DoubleMu5_SQ_OS_dR_Max1p6,1765019,0.5005094365572127
L1_DoubleMu0er1p5_SQ_dR_Max1p4,1725349,0.48926014725878325
L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2,1706797,0.48399932509935645
L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,1703322,0.48301391344541034
L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6,1567235,0.44442349164668665
L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2,1553495,0.44052721650273857
L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,1550688,0.4397312307437093
L1_SingleMu0_BMTF,1445296,0.4098450422450939
L1_DoubleMu3er2p0_SQ_OS_dR_Max1p4,0,0.0
L1_SingleMu10_SQ14_BMTF,0,0.0
L1_SingleMu11_SQ14_BMTF,0,0.0
